stamp_s,phase,vt_s,warp,settle_blend,motor_id,q,q_des,err,qd,qd_des,qd_err,kp,kd,j_eff,tau_ff,tau_meas,pd_tau,total_tau,hold_ref_source,q_final,q_final_err,settle_vel_brake
1782898564.663261,trajectory,0.187367,1.000000,0.000000,3,0.013613701,0.008365659,-0.005248042,-0.030212402,-0.022032894,0.008179508,40.000000,4.830000,,0.242956901,0.031906128,-0.170414656,0.072542245,q_final,,,1.000000
1782898564.663261,trajectory,0.187367,1.000000,0.000000,4,-0.002492905,-0.003076763,-0.000583859,-0.059753418,-0.009102055,0.050651363,24.000000,2.250000,,-0.086391356,0.040725708,0.099952960,0.013561604,q_final,,,1.000000
1782898564.663261,trajectory,0.187367,1.000000,0.000000,5,0.001726151,0.000198658,-0.001527493,-0.011581421,-0.029789477,-0.018208056,15.000000,1.500000,,-0.051130147,-0.030121803,-0.050224474,-0.101354622,q_final,,,1.000000
1782898564.663261,trajectory,0.187367,1.000000,0.000000,6,-0.009395599,-0.008511703,0.000883896,0.021652222,0.013779489,-0.007872733,12.000000,1.000000,,0.005267126,0.003204346,0.002734023,0.008001149,q_final,,,1.000000
1782898564.675242,trajectory,0.199333,1.000000,0.000000,1,0.008245468,0.009328773,0.001083305,0.190006256,0.015845883,-0.174160373,35.000000,5.000000,,0.635992199,0.130998611,-0.832886194,-0.196893996,q_final,,,1.000000
1782898564.675242,trajectory,0.199333,1.000000,0.000000,2,-0.012846947,-0.011009965,0.001836982,-0.005187988,-0.001168773,0.004019215,25.000000,5.800000,,-0.124909240,0.152893066,0.069236002,-0.055673237,q_final,,,1.000000
1782898564.675242,trajectory,0.199333,1.000000,0.000000,3,0.013613701,0.008085803,-0.005527898,0.055725098,-0.024766650,-0.080491747,40.000000,4.830000,,0.290872026,-0.245136261,-0.609891070,-0.319019044,q_final,,,1.000000
1782898564.675242,trajectory,0.199333,1.000000,0.000000,4,-0.002492905,-0.003192375,-0.000699471,0.061096191,-0.010231403,-0.071327594,24.000000,2.250000,,0.149122263,0.055770874,-0.177274381,-0.028152117,q_final,,,1.000000
1782898564.675242,trajectory,0.199333,1.000000,0.000000,5,0.001726151,-0.000179721,-0.001905871,-0.017623901,-0.033485639,-0.015861738,15.000000,1.500000,,-0.033642749,-0.074128151,-0.052380673,-0.086023422,q_final,,,1.000000
1782898564.675242,trajectory,0.199333,1.000000,0.000000,6,-0.009778976,-0.008336679,0.001442297,-0.034744263,0.015489194,0.050233457,12.000000,1.000000,,-0.033804061,0.037384033,0.067541020,0.033736959,q_final,,,1.000000
1782898564.687244,trajectory,0.211322,1.000000,0.000000,1,0.008245468,0.009529692,0.001284224,-0.204776764,0.017687021,0.222463785,35.000000,5.000000,,-0.835707048,-0.007003784,1.157266773,0.321559725,q_final,,,1.000000
1782898564.687244,trajectory,0.211322,1.000000,0.000000,2,-0.012846947,-0.011024784,0.001822163,-0.148622513,-0.001304573,0.147317940,25.000000,5.800000,,-0.454704842,-0.035705566,0.899998115,0.445293273,q_final,,,1.000000
1782898564.687244,trajectory,0.211322,1.000000,0.000000,3,0.013230324,0.007771772,-0.005458552,-0.040954590,-0.027644294,0.013310295,40.000000,4.830000,,0.192275635,-0.031906128,-0.154053362,0.038222273,q_final,,,1.000000
